nama,fakultas,nilai_kal,nilai_fis,nilai_kim
Fajar A,STEI,55.93,56.74,63.67
Lyra Altairatri,FTMD,59.52,64.7,53.62
Aliya Gibran,FSRD,79.62,79.33,55.8
Christoffel Faishal,FTMD,57.17,60.85,69.86
Ajeng Zukhrufa,STEI,53.9,63.55,60.93
Fannan farhan,SBM,66.76,67.39,40.15
I Oktavina,SF,60.27,61.38,44.6
Yanara Siti,FTTM,38.29,43.15,54.58
Kalysta Juan,FTTM,42.32,50.32,58.14
Daffa Selicia,FMIPA,50.49,56.26,65.59
Fauzan Alfarizzi,FTMD,59.42,59.09,74.48
Cherry Ramadhan,SAPPK,47.51,50.29,40.8
Mutmainnah Muhammad,STEI,51.8,52.53,60.28
Raharjo Ashfia,SBM,69.32,73.1,49.96
Abdullah Axelino,STEI,53.3,54.62,54.77
Setyawan Waluyo,SITHR,63.65,68.14,52.52
Vigas Ulily,FSRD,73.85,76.96,60.11
Haptana Ramadhyan,FSRD,70.45,74.06,59.04
Ammardito Aristawidya,FTMD,59.54,64.28,48.98
Aruna Ratnasari,FITB,46.27,47.93,62.16
Chauci Azzahra,SF,61.13,66.96,32.99
Ramadhani Ng,STEI,52.35,54.03,66.17
Putri Josephine,FTTM,37.85,45.56,73.17
Marcellus Shabrina,FTSL,13.04,14.19,65.61
fataya Christo,SAPPK,47.22,56.12,51.57
Andreas Thesar,FTTM,42.15,38.82,61.37
Zulfanputri Simanjuntak,FTTM,41.23,44.89,50.47
Bintang Adira,STEI,55.65,60.54,56.51
Raiza Fadhilah,FMIPA,48.95,48.64,71.85
Mulyana Husni,FMIPA,50.31,49.74,51.52
Attar Hidayah,FMIPA,48.54,56.01,53.31
Naufal Husnia,FTMD,59.21,58.5,73.46
Naufal Azizah,FTTM,40.94,49.55,62.03
Amadea Haniyah,FTSL,30.29,29.27,65.78
Farhana viona,FTTM,39.44,44.34,46.88
Dewi Putra,FTTM,41.81,50.0,72.13
Adalya Pramudya,FITB,44.57,54.24,54.59
Tiara setiawan,STEI,55.23,59.16,49.41
Alfarizzi Gumelar,FITB,44.54,51.59,66.7
Danar Andika,SITHR,65.11,62.52,65.7
Adriansyah Yudistira,SBM,67.62,67.75,60.56
Ambardi Marliyana,SAPPK,46.58,44.56,60.81
Rifanda Giffera,STEI,54.53,57.84,55.01
Wibawa Putri,STEI,53.54,57.21,53.34
Arian Milah,FTSL,37.23,44.15,72.01
Lubis Joanna,FTTM,42.12,51.1,61.43
Akmal Diwangsa,FMIPA,49.09,53.48,50.52
Hafidz Muhammad,FMIPA,49.3,47.91,53.63
Muhammad Nisrina,FTMD,56.26,63.09,61.83
Mumtaz Bunga,STEI,55.65,58.42,64.92
Nicolaas Ryo,FMIPA,51.4,51.83,63.06
Aria Putu,SITHR,63.16,64.68,51.95
Sutandijo Nardyawan,SF,60.13,63.34,80.65
Naufal Claudia,SITHS,62.32,68.69,58.86
Athallah Arumsari,FMIPA,50.34,59.65,59.3
Gunawan Estefani,FSRD,70.55,75.98,63.16
Athllah Farrelitavio,FITB,45.4,49.65,48.69
Jasmine Andiva,STEI,55.9,59.47,71.53
Mukti Muhamad,SF,61.41,63.64,67.04
Fattarazza Bagus,STEI,54.79,57.88,50.26
Azzahra Wislianda,FTMD,57.2,59.47,60.57
Khairiyah Hana,FITB,45.06,48.32,49.4
Nurfathonah Nur,FMIPA,51.69,58.16,84.81
Sri Aditya,SF,60.15,60.45,69.03
Abdurrahman Kemal,FTTM,39.66,45.73,49.08
Rahman Arynda,FTTM,39.52,44.15,52.69
Yasinta Gede,SBM,68.66,73.44,60.78
Fauziah Wicaksono,FTTM,39.21,45.56,46.81
Kurniatama Aldiputera,SBM,68.3,66.33,61.83
Kurniawan Izdihar,SAPPK,48.17,51.87,65.34
Andrew Dannisa,FTSL,35.53,35.79,53.5
Sabrina Nugraha,SITHR,64.83,70.12,78.19
Daffa Permatasari,FTTM,38.26,44.51,51.35
Delfiani meannaka,FTMD,57.63,65.56,52.3
Akbar Razin,SITHR,63.83,62.83,49.95
Rahmadini Faatih,FTMD,58.81,58.39,70.59
Rafifah ferastie,FMIPA,51.24,53.85,49.6
Nilnal Aniqa,FMIPA,50.22,46.43,62.58
Howard Shafa,FTSL,30.93,36.63,42.9
Novan Visakha,FMIPA,51.43,49.84,40.1
Fransiska Siagian,SF,60.65,59.1,64.02
Gracella Hanendro,FTMD,57.47,57.38,62.11
Mega Rizkullah,FMIPA,49.18,59.61,53.88
megananda Reveal,SF,60.61,58.97,44.85
Oscar Zaki,SITHS,62.54,68.18,63.31
Andi Simbolon,FSRD,71.59,73.0,50.18
Camelia Agung,FITB,43.7,44.05,57.99
Muhammad Purnomo,FTMD,57.09,64.02,57.15
Firmansyah Syahida,FTTM,42.26,46.6,35.34
Haris Widiazhari,FTMD,59.4,62.53,48.77
Sangadji Muhammad,SBM,66.58,65.92,55.83
Fadlin Alfanisqi,FTTM,40.19,43.29,52.96
Sidqi Steven,FMIPA,48.22,49.84,57.77
Mochammad Nabilla,FTSL,35.65,39.74,55.9
Alfian Ikhtiarudin,FMIPA,48.48,56.69,41.32
Aditya Ferdinand,FTSL,29.41,34.75,62.32
Alzena Dewi,SAPPK,46.67,47.01,82.68
Janice Irawan,FTTM,42.05,44.9,59.6
Gayendra Fitri,SAPPK,47.09,54.27,60.51
Nyoman Luana,STEI,52.98,55.43,63.36
KK Febriyan,FTMD,57.82,59.97,39.95
Prabhasalma Kayla,SAPPK,47.85,52.76,67.46
Rahila Arifin,FITB,46.07,46.05,61.07
Muhammad Ardian,FTTM,41.59,50.79,59.42
Arivah Zuhrah,SBM,66.86,67.59,52.14
Dorothea Joshua,FMIPA,48.55,49.74,68.05
Aini SABILA,FTSL,35.43,38.94,59.87
Akmal Dutiara,STEI,54.11,58.08,48.3
Yogi Miftahul,SITHR,63.35,58.08,60.15
Senopati Muhamad,FTSL,33.5,36.72,49.73
Raditya Sophia,FTTM,41.51,48.86,44.78
Christopher Shobrina,FSRD,74.72,80.42,47.93
Ichwanudin Agusty,SITHR,63.12,64.89,66.51
Hutagaol Rayhan,FITB,46.32,51.48,59.86
Devi Talitha,FTTM,41.54,48.34,73.1
Cesaryan Shafad,STEI,55.54,55.53,58.11
Adrian Ninagan,FTTM,42.85,52.28,49.3
Daffa Putri,FITB,43.85,50.03,61.12
Salma Patricia,FITB,44.97,52.04,77.04
Yuliana Priyo,SF,61.17,63.25,54.44
INTAN Muhammad,FITB,45.92,51.92,57.3
Yulia Mayra,STEI,55.03,51.25,62.22
M Auliya,STEI,51.91,53.55,57.73
Putri Virda,FTTM,41.36,39.31,73.94
Sabrina Elisabeth,FTTM,37.83,43.13,62.96
Yaqufa Fioerella,FMIPA,49.12,46.46,49.0
Shieren Ghassan,STEI,55.98,60.22,61.87
Manalu Ragil,FMIPA,51.6,53.29,44.85
Aditia Hikham,FMIPA,51.48,52.29,65.18
Angelique Muthohhar,SITHS,61.7,61.98,50.8
Aisha Ahmad,STEI,53.12,57.41,48.93
Achmad Fernaldy,FMIPA,48.62,48.69,54.89
Grisella aulia,SAPPK,47.9,54.25,73.81
Alif Yansen,SF,60.52,62.22,56.03
Wiratama Anugrah,FTMD,58.61,63.16,77.08
Muhammad Ulinta,STEI,55.47,60.0,41.51
Caroline Putri,FTTM,40.71,45.55,82.57
Saragih Rei,FSRD,76.63,79.88,70.27
Salsabila Fitriani,SBM,68.09,72.96,64.31
Brahmana Mokoagow,FSRD,74.81,77.58,52.75
Daris Wibisono,FTSL,36.33,45.62,71.82
Natasya Valentino,FTSL,34.38,38.86,58.4
Filbert Tandri,STEI,56.05,58.39,67.24
Wardana Alexander,FTTM,41.62,44.32,56.9
Amri Andry,FMIPA,49.52,55.03,80.0
Aliffathiyya Ester,SAPPK,47.8,51.3,60.79
Clarissa Putra,SF,60.01,62.09,50.48
Despranta Yasmin,STEI,52.85,51.88,52.18
M. Indriana,FMIPA,51.21,51.28,53.94
Alifia Pritha,FMIPA,50.54,50.76,52.5
Barran Gemilang,STEI,54.73,50.92,60.37
Fathinah Azzidny,SBM,67.31,65.78,53.35
Cahya Arie,FTMD,57.87,62.9,54.61
George Grace,SF,59.94,70.95,53.9
Ayu Hafia,FMIPA,48.69,51.5,50.5
Sianto Harsa,FTSL,33.56,42.77,57.66
Salha Shafina,FTSL,34.26,35.89,53.81
Dewanto Rijalulhaqqi,FTTM,40.35,41.67,71.54
Atharel Nabiela,FITB,46.2,47.1,70.28
Maria Muhammad,FMIPA,48.88,53.11,42.77
Maolana Mazaya,FMIPA,48.64,48.31,69.3
Muhammad Raykhul,FMIPA,49.0,51.67,68.99
Aziz Muhammad,STEI,56.01,56.49,50.49
Pramita Naza,FTTM,40.81,45.04,59.27
Askania Mohammad,STEI,52.42,53.32,75.67
Pamungkas Ayu,FTSL,22.99,35.58,72.72
Hafizhah Nevin,FTTM,42.24,45.6,60.87
Amar Al,STEI,55.2,58.32,57.11
Karina Alghifari,SBM,65.75,67.33,75.46
Anindya Samuel,FTMD,56.25,61.64,47.7
Agung M,FTMD,57.25,58.49,62.78
Jeraldo Parluhutan,FTMD,57.63,58.31,74.48
Rahmat Sekar,SAPPK,47.86,48.8,48.04
Saidpudin Tanzah,FSRD,70.38,73.56,64.53
Susana Jose,FTMD,57.99,62.14,71.59
Al Haryadi,FITB,44.37,45.16,59.82
Adiguna Azfa,FSRD,74.1,75.08,66.17
ekaputra Ifbayhaqi,FTMD,59.1,63.55,45.83
Rahmani mufti,FTSL,37.33,37.45,47.04
Elisa Leo,FSRD,82.65,90.06,56.3
Farrel Jefferson,FMIPA,50.73,59.7,53.52
Faizal Alifah,STEI,55.18,59.31,53.77
Vicky Athiya,SF,60.85,62.46,43.53
Surya Fathariska,SF,61.08,64.63,65.17
Lentera Landung,SAPPK,47.48,46.78,74.61
Muhammad Zuhdii,SAPPK,48.11,49.4,68.09
Mohamad Fauzan,STEI,52.37,55.91,57.18
Imala Muhamad,FTSL,21.13,28.56,57.37
Theresia Adiprayoga,FMIPA,49.51,56.16,53.89
Abdullah ageng,FTTM,40.79,47.81,62.62
Athallah Putri,SITHR,63.94,60.64,63.18
Putu Hafizh,STEI,54.02,56.11,52.89
Hana Muhammad,SAPPK,48.02,55.93,53.26
Edward Sianturi,FTTM,40.03,38.6,44.87
Christian Rizqiadewi,FTTM,40.03,43.68,42.59
Setiadi Satrio,STEI,54.92,58.73,69.48
Aloysius Asyifa,FMIPA,51.31,53.24,44.22
Neva Ainun,SBM,68.77,68.43,56.35
Benedito Mufti,FITB,43.89,49.57,34.48
Sandy Triandika,SBM,65.17,68.38,67.22
Glend Putra,FITB,44.75,48.32,48.25
Krisnu zulvian,FTTM,37.86,42.03,53.19
Nurul Shierly,FTSL,24.88,34.58,74.89
Michael budia,SITHR,64.8,61.19,47.83
Fandy I,SITHR,65.04,66.34,55.13
Manihuruk Amalia,SAPPK,46.76,46.46,63.79
Adveinton Parulian,FTMD,59.69,63.64,68.27
Wardani Nurhaliza,STEI,52.18,55.56,62.26
Nugroho Nafisa,STEI,53.29,54.66,60.39
Rosyad Meidivia,STEI,55.77,57.29,38.95
Shafly Hamidi,FTTM,40.04,36.48,59.66
Sheencia Florence,FTSL,30.84,38.4,43.87
Putra Rianggara,SITHR,63.7,71.37,49.05
Pratista Wahyu,FTSL,37.59,37.89,70.58
Rachael Alfiyyahdianti,SAPPK,46.62,47.38,45.17
Darmawan Afiq,FMIPA,49.54,48.42,48.15
zalfa Chauci,STEI,52.79,61.15,63.48
Humam Khoir,FTTM,38.25,44.41,73.12
Hanifa Adyftha,FTSL,37.35,45.9,78.54
Nabonar Rumindo,SBM,66.15,67.0,73.61
Romyz Fikri,SITHR,63.6,66.03,66.9
Dhiya'ulhaq Shidqie,FTSL,32.93,43.71,59.21
Rifky Ardhito,FMIPA,50.5,53.08,47.05
Chiara M.,SITHR,64.76,67.27,57.71
Ulhaq Nadia,STEI,53.03,51.43,60.96
Dominikus Yasmin,SBM,65.85,61.51,57.48
Aisha Mutmainnah,FTMD,58.62,60.3,51.99
Raihanah Putri,SAPPK,46.64,48.2,51.53
Cahyaningrat Ika,FMIPA,49.33,53.64,61.26
Ali samuel,SAPPK,46.65,52.5,43.82
Ahmad Yosep,FITB,44.98,46.66,50.57
Metta Raditya,FTSL,28.5,35.28,55.68
Prabhasalma Dwi,STEI,55.41,55.46,62.58
Violetta Hutabarat,STEI,56.02,60.18,78.38
Brahmanta Caesario,STEI,55.73,59.99,65.74
Daffa Rianggara,STEI,53.7,54.89,64.17
Kristo Maulana,SF,59.88,60.03,69.47
Muhammad Ksatria,SF,61.5,59.65,67.8
Papuano Nasya,FTTM,39.38,41.87,57.94
Rio Rizka,SITHS,61.7,69.88,70.57
Afgan Samuel,FTTM,40.74,42.44,40.23
Naufal Tsabit,FTTM,40.54,46.23,67.2
Dvijatma ZULFIA,FTSL,19.17,20.44,65.89
Lista memasukkan,FSRD,70.23,70.14,54.91
Muhammad Syahada,FMIPA,49.53,50.47,55.04
Geraldi Qurrota,FTSL,36.72,41.29,53.06
Khayla Zohari,SF,61.13,62.34,46.54
Valencia cppnya,FITB,46.2,45.0,38.61
Putri Timothy,FSRD,78.81,80.07,54.75
Made Martona,FTMD,59.55,56.47,61.13
Mia Ramadhani,FTMD,56.76,59.44,52.89
Ami Aryasatya,SITHR,65.1,64.4,68.98
Claudia fath,FTTM,42.48,46.42,49.32
Estefani Vrince,FTTM,38.72,42.08,74.35
Cakrawala Agandra,FTSL,29.8,34.35,61.51
Amin Erina,FTSL,24.39,35.03,64.36
Muhammad Amanda,FITB,43.84,43.98,71.55
Nisrina adhika,FTTM,39.4,45.94,67.27
Prasanti Puspita,FTMD,56.7,58.29,55.86
Afif Albert,SAPPK,47.36,55.71,47.9
Muh. Pratiwi,SAPPK,47.67,52.2,51.56
Sulamit Sari,FMIPA,51.6,55.21,50.56
Ardhi Firman,FMIPA,48.52,50.76,34.93
Muhamad Winneke,FTMD,57.6,51.12,77.81
Rahmawati Parawangsa,STEI,53.58,59.89,46.24
Kisworo Muhammad,FSRD,74.47,72.38,66.72
Aria Iman,SF,61.03,65.51,68.7
Wicaksono George,FTSL,36.37,37.54,62.03
Fathari Lokitha,FMIPA,49.11,55.63,57.66
Mahira Nuruzzaman,FTSL,37.67,46.72,55.76
Mido Ryanditto,FMIPA,49.19,54.57,78.19
Vincentius Makarim,FTSL,33.92,39.51,66.19
Aziz Rifaldhi,FTMD,58.52,56.28,51.95
A'isyah Miryam,FITB,45.69,49.56,45.87
Benito Lusianawati,STEI,52.02,56.02,64.35
Maharani Muhammad,FTSL,31.99,40.17,39.88
Pratama Sayyidurrahman,FTMD,56.43,61.6,58.77
Yohana Theresia,FTMD,56.84,58.38,55.0
Naufal Tristan,SBM,65.51,68.65,62.82
Suryana Athallah,FITB,44.12,45.27,60.76
Tan Jeremy,FTSL,32.98,35.51,77.37
Yoga Hassan,FTTM,41.38,45.13,56.73
Gunawan Ramadhan,FITB,45.98,48.99,51.47
Fidela Arrysa,STEI,55.06,51.0,52.22
Rahma Valerie,SBM,65.21,69.75,40.08
Zulafa Adityo,FMIPA,48.64,52.89,74.55
Shabri Putradinanti,STEI,55.72,59.87,45.02
Chandradewi Emely,FITB,43.88,50.8,45.67
Elena Ghiffary,FMIPA,48.37,52.01,68.57
Fitri Marianto,FITB,45.23,43.78,36.88
Fauziah Faintbright,SBM,68.06,72.5,64.38
Khusna Hafizh,SAPPK,46.67,50.64,55.02
Muhammad Fauzan,FTMD,58.49,65.84,62.9
Pawitra Lucki,SITHR,63.3,61.17,62.82
Insan Naufal,STEI,52.85,56.02,58.53
Zalfa Muhammad,STEI,52.77,60.03,58.43
Dewanto Dwi,FTMD,56.15,56.99,42.93
Sabrina Syafitri,FSRD,72.73,72.44,48.8
Arafani Ainaya,SBM,65.28,75.92,70.84
Fudin Izzah,STEI,54.65,60.3,49.75
Sukma Ulhaq,FITB,43.97,44.91,85.26
faiz Haidar,STEI,55.02,53.97,69.61
Ihsan Puspita,SF,60.96,63.56,69.05
Indira Muhammad,FTMD,58.83,54.5,55.28
Gumilar Noor,SITHS,62.65,61.9,56.66
A'isyah Fitri,SBM,67.8,61.33,60.63
auliya Kendra,FMIPA,50.91,54.56,60.27
Muhammad Marcelino,FTTM,42.43,43.91,55.86
Dwi Rifky,STEI,54.54,57.22,45.27
rheznandya Danar,FSRD,74.86,76.9,55.83
Satrio Maya,STEI,52.48,54.82,55.21
Muhammad Suha,FSRD,79.31,73.39,56.48
Arion Raihan,FTTM,39.92,42.58,58.1
Zalfa Fawwaz,FTTM,43.09,43.22,62.08
Hanggara Mahib,SAPPK,48.09,49.66,41.67
falih Kurniawan,FMIPA,49.9,62.71,61.52
La Fath,FMIPA,49.96,50.98,51.63
Lumaksono Dimas,STEI,55.88,58.48,54.68
Haryana Eunike,FTTM,40.41,42.32,67.66
Rainier Kanya,FTTM,41.13,48.02,64.05
Panjikusumo Rahel,STEI,52.74,56.53,49.79
Muhammad Muhamad,STEI,52.56,52.9,62.68
Felicia P,STEI,53.12,55.41,58.73
Muzaki Alif,STEI,53.94,54.4,47.83
Muhammad Hanif,FMIPA,48.56,52.9,55.81
Made Bagus,FTMD,56.05,62.56,51.67
Pasribu Ayuningtyas,FMIPA,49.44,49.59,73.15
Chrisdiana Khausal,STEI,52.52,56.51,81.44
Meutia Liora,FITB,46.42,51.01,57.91
Nadira Haynes,FITB,46.31,47.35,56.68
Kartagunawan Diva,SBM,69.33,69.72,56.16
Imam Mohamad,STEI,52.62,55.23,72.1
Mangallo Brizita,SBM,69.28,78.47,58.9
Insani Shaliha,STEI,53.14,53.24,44.23
Isfahan Margareta,STEI,55.72,61.28,50.2
Hanasyanila Eunike,SF,59.94,65.22,54.92
Natasha Harsana,FTMD,58.24,59.88,61.48
Nadinta Setiawati,SBM,65.86,64.25,57.6
Tabina C,FTSL,29.2,36.72,62.49
Adellia Syahna,FSRD,73.21,77.05,64.27
Rahmadini Adzhary,FTTM,41.2,43.81,76.32
Ghifari N,FITB,44.42,42.43,55.8
Hafizh Kabullah,FMIPA,51.16,57.28,62.3
Rio Faizah,FSRD,76.19,77.29,65.72
M. Ardella,STEI,52.68,53.57,55.1
Christopher Kurniatama,FMIPA,50.61,52.45,76.55
Alvian Salma,SAPPK,46.81,46.76,46.77
Muhammad Helmi,FTTM,43.31,48.62,58.08
Yohana Athallah,FSRD,80.33,75.26,76.46
Fawaz Sukma,FSRD,70.91,74.32,65.97
Husaeni Laivani,FMIPA,50.54,57.83,55.1
Sabna Nadia,SF,60.58,64.54,49.49
Hendriani Hawari,FTMD,57.31,63.69,65.37
Difa Reyhan,STEI,54.22,58.9,65.11
Euodia Ahmad,FTMD,59.54,57.27,48.2
Nur Dieny,FTTM,43.34,45.14,71.54
Rizqy Artha,FTMD,57.62,57.24,42.36
Dini Pratama,FTSL,32.9,36.27,53.96
Helmi Erliza,FITB,46.26,51.0,55.2
Surya Ratnasari,SBM,67.28,72.81,63.43
Adi Sarah,SITHR,64.79,70.85,62.93
Ruhullah Fadia,FTMD,58.9,62.24,66.34
Respati Anggita,FITB,45.05,54.15,46.11
Amya Gracsella,FTMD,59.21,57.25,56.93
Vivien Ahmad,FTTM,38.37,47.79,64.59
Antonio Oxanna,FMIPA,50.7,53.39,59.05
Ari Jefferson,SITHS,61.78,58.36,58.51
Rizka Arif,FTMD,58.37,62.84,53.33
Fidela Wardifa,FSRD,74.47,77.93,61.01
Aryasatya Jevon,FMIPA,48.65,57.98,75.92
Alfian Mora,FTTM,42.4,48.1,65.57
Syakir Mayditia,FTTM,39.11,50.24,38.83
Nabila zeke,STEI,52.92,63.92,52.78
Elizabeth Wicaksono,SAPPK,47.69,53.47,62.21
Khoirun Pramdani,FTTM,43.24,46.8,65.05
Nathannoel Arif,FTTM,38.04,38.14,42.96
Haposan Ezeddin,SITHS,62.59,58.14,44.53
Yohana Gracsella,FSRD,82.72,82.38,55.8
Ghozali Tsurayya,FTMD,57.35,69.94,46.22
Farrel Yulianty,SITHR,64.75,66.55,71.17
Akbar Naufal,SBM,69.22,68.55,62.67
Aurelia Agil,FTTM,40.52,39.92,52.71
Radya Sergio,STEI,54.78,56.79,55.95
Muhammad Giffari,FSRD,72.13,71.09,54.8
Rafael Fakhrurazi,FITB,46.46,50.35,81.71
Alexander Gilbert,FSRD,72.17,71.3,61.18
Aura Sherina,SBM,67.51,67.48,37.11
Tasya Veiro,FSRD,86.65,88.43,47.6
Christopher Arynda,SAPPK,48.16,52.85,56.31
Amri arifatullaily,SBM,69.04,71.27,46.46
Machdy Wulandari,FTSL,25.95,37.13,39.12
Aulia Audrey,FMIPA,50.19,51.13,61.91
Muhammad Almashadrina,FMIPA,50.63,51.1,59.52
Amaliyah Muhammad,SAPPK,47.68,48.71,54.24
Nila Rafid,STEI,53.53,57.1,76.55
zahrah Soempeno,FMIPA,48.41,51.1,60.17
Muhammad Richi,FTTM,40.86,47.11,75.26
Catherine Bayu,FTTM,41.82,51.43,41.61
Ayuni Dea,SF,60.1,59.86,53.11
Arifin Derrick,FTMD,58.44,57.77,67.86
Athiya Christopher,SITHS,62.18,60.48,62.92
Wijaya Ys,FTMD,57.18,54.39,55.18
Mohammad Shalahuddin,SBM,68.44,69.88,70.07
Rasyad Novaldi,FTMD,58.88,57.38,60.56
Andini Pitrania,STEI,55.14,61.86,37.26
Brian Tahyudin,SBM,68.63,68.73,60.28
Dzaki Leonard,SITHR,64.57,66.6,64.54
Salma I,STEI,54.63,56.36,62.75
Widjaja Rasendriya,STEI,55.77,55.14,64.65
Hasea Ramadhani,FTTM,41.82,44.89,50.01
aisyah Hanifa,SITHS,62.73,62.52,64.1
Litaay Sadewa,FTTM,41.23,46.66,75.38
Muhammad Rizaldy,FTTM,39.67,43.28,69.44
Ghozali Theresia,FTSL,34.96,33.26,48.33
Nurjihan Afifah,FTMD,56.69,65.37,59.76
Ivana Fathima,FITB,45.88,46.32,65.37
Caesaruli Linquinn,FSRD,70.2,67.15,46.69
Rahman Fauziah,FTMD,56.75,51.68,63.78
Hibatullah Manalu,SBM,67.2,73.3,44.05
Nabila Aulia,FTTM,38.0,42.97,60.16
Ramdhana Jihan,SITHR,63.26,72.62,68.01
Kharina Audrey,STEI,53.15,57.18,80.71
Saffanah Inzagi,FTSL,31.14,30.17,46.16
Arisa Samantha,FTSL,33.66,38.32,60.46
Ezza Ramadhan,FTSL,35.38,40.99,54.15
Az-zahra Novan,FITB,44.42,43.98,56.03
Christian Alhamdi,FTTM,42.62,44.78,61.83
Shevina Tang,FMIPA,51.68,53.1,54.69
Andreas Muhammad,FMIPA,50.27,45.8,79.02
Nurwafa May,SITHR,63.77,66.39,55.53
Adiatma Tristania,FSRD,71.25,71.32,66.97
Adhitama Ramdani,FTSL,31.62,40.67,69.8
Fernandez Kurniatama,SF,60.09,58.41,61.41
Adirama Firdaus,FMIPA,48.26,49.75,62.09
Attarizal Pandu,FTTM,38.34,41.95,53.97
Chua Amri,STEI,54.82,56.04,71.77
Auliya Dhiya,STEI,55.49,48.96,43.94
Fadiah Muhammad,SAPPK,47.45,48.49,61.97
Br Putri,FITB,46.21,46.64,62.03
Laksmi Muhammad,STEI,55.56,65.57,70.68
Maria Pelu,FMIPA,51.6,46.7,67.98
Glens Parulian,SBM,69.51,66.84,72.35
Michelle Ilham,FTTM,39.9,46.7,67.64
Maullana Yasmin,SITHR,64.46,66.59,65.04
Agnes Fransiskus,FTMD,56.71,60.34,60.5
Kusuma Rayhan,FTTM,41.68,48.73,76.58
Efansyah Laode,SBM,67.47,69.64,78.24
Rainier Elfitra,FSRD,78.96,79.5,71.55
Keysha Syahir,FTTM,41.23,52.29,55.21
Rahayu Alya,FSRD,84.54,81.87,49.36
Dewi Safitri,SITHR,62.85,63.49,57.38
Kasih Zaki,FITB,46.43,51.47,70.38
Agritania Pranata,FITB,43.67,49.33,59.32
Verel M,FMIPA,50.83,56.77,77.69
Muhammad Jeffrey,FTTM,40.72,44.65,60.92
Luthfiyyah Caitlyn,SAPPK,47.57,53.12,67.08
Ryan Sayu,FTSL,22.35,27.83,67.56
Wiratathya Muhammad,FMIPA,50.54,52.26,54.93
paningali Putri,FITB,44.12,43.65,63.94
Zaky Alqonita,FTMD,59.27,58.86,50.79
Ramadhani Dary,FMIPA,50.26,53.67,43.06
Khoirunnisa Wina,STEI,55.83,59.75,45.99
Najin Sihotang,FSRD,78.26,77.13,62.95
Averrous Zelika,FTMD,59.05,64.77,61.15
Christine Zulfa,SF,60.71,67.43,62.15
Aufa Purba,FTTM,39.94,46.85,69.23
Syifa Ariq,FTTM,39.32,45.97,63.52
Putra Margareth,STEI,54.66,57.4,65.31
Andresta Maharani,SF,60.08,60.94,63.06
Lintang Ammar,STEI,52.44,48.01,62.28
Ramaditya Lumbanraja,STEI,51.73,52.57,60.23
Wahyu Dewanto,FTTM,38.7,35.64,63.77
Mawardi Gerard,SITHR,63.93,63.23,75.47
Haryosatyo Satria,FTSL,37.11,40.28,74.12
Sutirto Naura,SF,59.94,59.7,50.17
Dzimar Rizqi,FTTM,43.28,46.9,60.3
Azmi Aziz,SBM,65.54,67.3,57.09
Gunawan Yulliane,FSRD,86.24,88.7,76.35
Irfan Lazuardy,STEI,55.34,56.07,67.63
Muhammad Anto,SITHR,63.4,66.71,78.8
Viona Gita,SITHR,63.15,63.23,80.57
M. Rafi,FTSL,32.94,37.98,51.97
Nurfitriani Nyoman,STEI,52.54,61.38,53.87
Nathaniel Adila,FTSL,36.88,39.47,65.49
Rio Salsabila,FTSL,37.12,42.86,61.68
Vanda Ichwan,FTTM,43.33,50.2,52.62
Fridayanti Aulya,STEI,53.13,59.46,56.18
Evelyn Adam,SBM,66.74,63.79,58.39
C Raksadinata,FTTM,41.74,42.87,45.9
Annisa Natanael,FTSL,32.11,41.18,53.25
Prameswari Nicholas,SAPPK,47.3,54.15,41.56
Muhammad Anton,SBM,66.73,67.57,66.14
Al Putri,FITB,46.27,46.16,68.75
Fikra Gibran,FTTM,39.03,40.27,66.29
Daneera Zasqia,SF,60.77,66.6,63.62
Ruth Septama,SBM,67.65,67.55,58.64
Satya Jonathan,STEI,51.78,57.26,47.19
Nurul Santiana,STEI,55.7,65.23,64.9
Sari Haris,FMIPA,50.23,49.99,58.28
Ariq M.Muis,SITHR,64.14,64.52,69.35
Reidita Abdurrahman,FMIPA,48.18,51.29,36.34
Nalendra Wahyu,FMIPA,48.87,49.06,63.6
Himawa Ramadhina,FMIPA,49.51,52.38,66.6
Yusviansyah Effendi,SF,60.96,65.03,53.51
Mufiddin Yesha,FTTM,39.09,44.89,56.57
Mujahid Urfa,FSRD,73.45,74.23,56.83
Nainggolan Yanuarsyah,FTSL,30.97,31.76,68.8
Nisa Reza,FITB,44.02,48.87,71.09
Errena Febby,STEI,54.78,57.76,54.08
Maharani Valeria,SITHR,64.66,73.65,54.53
Tanurahardja Septricia,FTTM,38.21,47.83,49.81
Falah Felix,FTSL,33.21,37.91,50.7
Alfatih Peter,SITHR,63.19,62.52,66.57
Aldo Shelyn,FTTM,38.83,44.9,53.57
Yusuf Maliska,FTMD,57.67,60.65,56.53
Adikusumah Monica,FMIPA,49.58,52.57,73.35
Tita Magna,FTMD,56.57,60.97,70.61
Adristo Al-,FSRD,79.13,75.67,58.17
Enver Mohamad,SAPPK,47.84,47.55,57.96
Irzami Humaira,FMIPA,48.69,53.88,75.02
Tirtasasmita Christopher,FMIPA,48.44,48.02,57.73
Viona SADAAD,FITB,45.06,56.03,58.56
Alifah Fitri,FTMD,57.06,57.72,49.81
Salsabila Gede,STEI,54.98,60.5,62.89
Yusuf Alfonso,SAPPK,47.12,51.25,51.75
Sunandar Made,FTTM,38.08,36.63,47.07
